store_id,total_sales,unique_customers,product_diversity,fuel_transactions,total_transactions,fuel_share,chain_size,store_name,store_chain_id,store_chain_name,street_address,city,zip_code,latitude,longitude,log_customers,log_sales,log_products,log_chain_size,cluster,subcategory,purchase_count
14728,1755.916451,2,6,79,80,0.9875,138,Store 222,1028,Gas Express LLC / Circle K Atlanta,7320 Roswell Rd,Sandy Springs,30328,33.9550953,-84.3652808,1.0986122886681098,7.471315534979056,1.9459101490553132,4.9344739331306915,3,Water,96
14729,299.42773,3,1,5,5,1,1,oaklawn mobil inc,7170,oaklawnmobil,10240 S Pulaski Rd,Oak Lawn,60453,41.7062676,-87.7213638,1.3862943611198906,5.7052072258826465,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14735,54.201035,1,1,1,1,1,1,White Bear Bait,7177,salva inc,4648 Hwy 61 N,St Paul,55110,45.0816936,-93.0128471,0.6931471805599453,4.01098170310727,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14743,85.602582,1,1,1,1,1,1,Stockbridge Bp,7179,KJ INVESTMENT GROUP LLC,2992 hwy 155 sw,stockbridge,30281,33.6327531,-84.1832235,0.6931471805599453,4.461329630366418,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14747,249.88979600000002,7,9,9,11,0.8181818181818182,1,E.T.'S Quick Stop,7183,E.T.'S Quick Stop,5703 NC-96,Youngsville,27596,36.0448097,-78.5028897,2.0794415416798357,5.5250137829558685,2.302585092994046,0.6931471805599453,2,Premium/Super Premium,317
14757,146.54190300000002,3,1,3,3,1,6,cyto corporation,7189,cyto corporation,7600 W North Ave,Elmwood Park,60707,41.9090659,-87.8160171,1.3862943611198906,4.994112223570075,0.6931471805599453,1.9459101490553132,1,Premium/Super Premium,14
14759,441.911542,5,2,6,6,1,6,stmary gas company,7189,cyto corporation,5330 South La Grange Road,Countryside,60525,41.7932201,-87.8693604,1.791759469228055,6.093370070648299,1.0986122886681098,1.9459101490553132,2,Premium/Super Premium,317
14760,338.977149,4,2,4,4,1,6,ctjm one real estate inc,7189,cyto corporation,7455 W Archer Ave,Summit,60501,41.791297,-87.8090149,1.6094379124341003,5.828878406528063,1.0986122886681098,1.9459101490553132,2,Premium/Super Premium,317
14764,41.355626,1,1,1,1,1,3,Potomac Shell,7191,Tyson's Petro LLC,11355 Seven Locks Rd,Potomac,20854,39.0425135,-77.1579805,0.6931471805599453,3.746101257611385,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
14765,8.92,1,1,0,1,0,1,GST Foods Inc,7192,GST Food Inc,430 E New York Ave,DeLand,32724,29.0278989,-81.2959035,0.6931471805599453,2.2945529212967815,0.6931471805599453,0.6931471805599453,4,Cigars,45
14778,74.220564,1,1,1,1,1,1,Paddock Lake Citgo,7205,jrppetroleuminc,24518 75th St,Salem,53168,42.5686451,-88.1054345,0.6931471805599453,4.32042465101993,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14785,2.89,1,1,0,1,0,2,Seven Lakes Friendly Mart,7210,Seven Lakes Friendly Mart,4219 NC-211,Seven Lakes,27376,35.2655893,-79.5871202,0.6931471805599453,1.358409157630355,0.6931471805599453,1.0986122886681098,4,Cigars,45
14812,12.121982000000001,1,2,1,1,1,1,one stop washington,7236,one stop washington,2020 S Washington St,Kokomo,46902,40.4630178,-86.1333562,0.6931471805599453,2.5742888391796326,1.0986122886681098,0.6931471805599453,1,Premium/Super Premium,14
14833,7.479506000000001,1,1,1,1,1,7,Med Center Shell,7253,Med Center Shell Inc,4100 W Markham St,Little Rock,72205,34.7517044,-92.3188884,0.6931471805599453,2.137652193389959,0.6931471805599453,2.0794415416798357,1,Premium/Super Premium,14
14835,10.000074,1,1,1,1,1,7,Cantrell Shell Inc,7253,Med Center Shell Inc,7400 Cantrell Rd,Little Rock,72207,34.7712716,-92.3558226,0.6931471805599453,2.39790200004847,0.6931471805599453,2.0794415416798357,1,Premium/Super Premium,14
14841,445.674457,3,1,9,9,1,4,radhey krishna llc,7254,radhey krishna llc,233 Montour Blvd,Bloomsburg,17815,40.9808861,-76.4885472,1.3862943611198906,6.10183004516953,0.6931471805599453,1.6094379124341003,1,Premium/Super Premium,14
14842,392.011617,4,3,7,8,0.875,4,stya sai blooms llc,7254,radhey krishna llc,510 W Main St,Bloomsburg,17815,40.9994011,-76.4646345,1.6094379124341003,5.973839171228817,1.3862943611198906,1.6094379124341003,2,Premium/Super Premium,317
14843,135.750077,3,3,3,3,1,138,Store 309,1028,Gas Express LLC / Circle K Atlanta,1220 AR-35,Benton,72019,34.5516301,-92.5658609,1.3862943611198906,4.91815500437323,1.3862943611198906,4.9344739331306915,3,Water,96
14844,23.04,2,6,0,2,0,4,R Place 1,7255,R Place,1100 E Aultman St,Ely,89301,39.249241,-114.8865121,1.0986122886681098,3.179719109667007,1.9459101490553132,1.6094379124341003,4,Cigars,45
14847,3.09,1,1,0,1,0,4,R Place 8,7255,R Place,390 W Idaho St,Elko,89801,40.8283545,-115.7712497,0.6931471805599453,1.4085449700547104,0.6931471805599453,1.6094379124341003,4,Cigars,45
14856,11.354736,1,1,1,1,1,1,C&G Food Mart,7261,Harivarji INC,901 Crossland Ave,Clarksville,37040,36.5198107,-87.3472657,0.6931471805599453,2.514039471345017,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14870,3.49,1,1,0,1,0,1,Minooka Citgo,7273,Midwest Gas Inc,17845 N Ridge Rd,Minooka,60447,41.464197,-88.271948,0.6931471805599453,1.501852701754163,0.6931471805599453,0.6931471805599453,4,Cigars,45
14877,28.763298000000002,1,3,1,1,1,1,Freedom Mini Mart,7278,Freedom Mini Mart,N4012 County Rd E,Freedom,54913,44.3831689,-88.2921844,0.6931471805599453,3.3932760237172936,1.3862943611198906,0.6931471805599453,1,Premium/Super Premium,14
14886,9.36,1,2,0,1,0,1,mansfield fuel & food,7286,mansfield fuel & food,3880 W 4th St,Mansfield,44903,40.7794003,-82.654747,0.6931471805599453,2.337952236831337,1.0986122886681098,0.6931471805599453,4,Cigars,45
14887,38.598589000000004,2,3,1,2,0.5,1,Valero Food Mart,7287,Clermont Enterprises Inc,995 Clermont Rd,Shepherdsville,40165,37.9233766,-85.6833225,1.0986122886681098,3.678793486312493,1.3862943611198906,0.6931471805599453,4,Cigars,45
14892,12.99,1,1,1,1,1,2,mangat petro erie inc,6638,mangat inc,3945 Erie St,Racine,53402,42.7697791,-87.7866321,0.6931471805599453,2.63834278867739,0.6931471805599453,1.0986122886681098,1,Premium/Super Premium,14
14908,65.743821,2,3,1,2,0.5,1,Friends 2,7293,Friends,171 N Main St,Springville,84663,40.1688759,-111.6110172,1.0986122886681098,4.200861723707169,1.3862943611198906,0.6931471805599453,1,Premium/Super Premium,14
14924,112.26911999999999,4,9,1,6,0.16666666666666666,36,Fast Phil's 22,2515,Raymer Oil Company,3241 Harmony Hwy,Harmony,28634,35.9507815,-80.7728576,1.6094379124341003,4.729766580135034,2.302585092994046,3.6109179126442243,2,Premium/Super Premium,317
14926,50.367281999999996,1,1,1,1,1,3,S&S Texaco,7304,S&S Texaco,780 E 800 N,Spanish Fork,84660,40.1197627,-111.6409869,0.6931471805599453,3.9390014328204734,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
14928,40.012658,1,1,2,2,1,1,IN AND OUT MARKET,7305,KHUSHI INC,984 E Hwy 25 70,Newport,37821,35.9557395,-83.1613168,0.6931471805599453,3.713880750763798,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14934,7.999482,1,1,1,1,1,2,Homestead Foods Mart,3389,Houston Fina Inc,5946 E Mt Houston Rd,Houston,77016,29.8908094,-95.3013885,0.6931471805599453,2.1971670201242794,0.6931471805599453,1.0986122886681098,1,Premium/Super Premium,14
14941,18.59,1,1,0,1,0,1,Chana's Corner Inc,7316,Chana's Corner Inc,7807 Clifty Hwy,Huntsville,72740,36.2671871,-93.7645003,0.6931471805599453,2.9750192319564492,0.6931471805599453,0.6931471805599453,4,Cigars,45
14944,17.18,2,5,0,2,0,1,Circle K Franchise,7319,SAZ Largo Inc.,12574 66th St N,Largo,33773,27.8860448,-82.7299452,1.0986122886681098,2.900322088749333,1.791759469228055,0.6931471805599453,4,Cigars,45
